Season,Episode,WrittenBy,Scene,Character,Dialogue,IsChorusLine,IsMainCharacter,Location_raw,Location,WordCount,EpisodeLabel
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,Pheebs! (He looks down as he goes down the step to make sure he didn't fall again.) Check it out! (He starts laughing when he realized what he did.),False,True,Central Perk,Central Perk,29,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,"This particular time when he continued to fall or y'know, try not to fall, I was in the room with Matthew and Matthew was like, ""Should I do it?""",False,False,Central Perk,Central Perk,29,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,Pheebs! Check it out! Check it out! Check it out! Check it out! (Hands her one.),False,True,Central Perk,Central Perk,16,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",phoebe,"Ooh, Soap Opera Digest!",False,True,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",conan,"Matthew, you have a reputation with the rest of the cast that sometimes you like to, you like to fool around a bit. I mean like if something's naturally going wrong you like to get in there and juice it a little bit. True or false?",False,False,Central Perk,Central Perk,46,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",matthew,I don't necessarily like to juice things,False,False,Central Perk,Central Perk,7,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",courtney,He said true or false!,False,False,Central Perk,Central Perk,5,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,Oh! Ooh-ooh!,False,True,Central Perk,Central Perk,2,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",monica,What are you doing?!,False,True,Central Perk,Central Perk,4,Unknown
,,Unknown,"[Scene: Central Perk, the cast of Friends along with Conan O'Brien are sitting and talking.]",joey,You're still a tiny bit on fire there.,False,True,Central Perk,Central Perk,8,Unknown
