Character,Season,emotion,line_count
phoebe,6,sadness,22
phoebe,6,surprise,198
phoebe,7,anger,118
phoebe,7,disgust,70
phoebe,7,fear,23
phoebe,7,joy,111
phoebe,7,neutral,220
phoebe,7,sadness,23
phoebe,7,surprise,235
phoebe,8,anger,98
phoebe,8,disgust,76
phoebe,8,fear,21
phoebe,8,joy,102
phoebe,8,neutral,242
phoebe,8,sadness,35
phoebe,8,surprise,197
phoebe,9,anger,90
phoebe,9,disgust,47
phoebe,9,fear,19
phoebe,9,joy,100
phoebe,9,neutral,227
phoebe,9,sadness,50
phoebe,9,surprise,198
phoebe,10,anger,77
phoebe,10,disgust,52
phoebe,10,fear,14
phoebe,10,joy,112
phoebe,10,neutral,230
phoebe,10,sadness,30
phoebe,10,surprise,172
rachel,1,anger,78
rachel,1,disgust,60
rachel,1,fear,17
rachel,1,joy,73
rachel,1,neutral,317
rachel,1,sadness,45
rachel,1,surprise,260
rachel,2,anger,17
rachel,2,disgust,18
rachel,2,fear,3
rachel,2,joy,17
rachel,2,neutral,63
rachel,2,sadness,4
rachel,2,surprise,55
rachel,3,anger,116
rachel,3,disgust,87
rachel,3,fear,11
rachel,3,joy,98
rachel,3,neutral,321
rachel,3,sadness,49
rachel,3,surprise,243
rachel,4,anger,129
rachel,4,disgust,79
rachel,4,fear,21
rachel,4,joy,116
rachel,4,neutral,261
rachel,4,sadness,42
rachel,4,surprise,260
rachel,5,anger,153
rachel,5,disgust,89
rachel,5,fear,26
rachel,5,joy,153
rachel,5,neutral,225
rachel,5,sadness,28
rachel,5,surprise,232
rachel,6,anger,128
rachel,6,disgust,82
rachel,6,fear,25
rachel,6,joy,146
rachel,6,neutral,267
rachel,6,sadness,37
rachel,6,surprise,308
rachel,7,anger,161
rachel,7,disgust,78
rachel,7,fear,42
rachel,7,joy,137
rachel,7,neutral,292
rachel,7,sadness,45
rachel,7,surprise,337
rachel,8,anger,160
rachel,8,disgust,92
rachel,8,fear,23
rachel,8,joy,140
rachel,8,neutral,303
rachel,8,sadness,51
rachel,8,surprise,314
rachel,9,anger,95
rachel,9,disgust,67
rachel,9,fear,23
rachel,9,joy,108
rachel,9,neutral,250
rachel,9,sadness,35
rachel,9,surprise,279
rachel,10,anger,81
rachel,10,disgust,48
rachel,10,fear,14
rachel,10,joy,106
rachel,10,neutral,235
rachel,10,sadness,44
rachel,10,surprise,239
ross,1,anger,94
ross,1,disgust,94
ross,1,fear,33
ross,1,joy,70
ross,1,neutral,427
ross,1,sadness,36
ross,1,surprise,198
ross,2,anger,31
ross,2,disgust,32
ross,2,fear,5
ross,2,joy,26
ross,2,neutral,117
ross,2,sadness,8
ross,2,surprise,59
ross,3,anger,148
ross,3,disgust,103
ross,3,fear,21
ross,3,joy,108
ross,3,neutral,391
ross,3,sadness,55
ross,3,surprise,249
ross,4,anger,87
ross,4,disgust,55
ross,4,fear,22
ross,4,joy,139
ross,4,neutral,275
ross,4,sadness,28
ross,4,surprise,201
ross,5,anger,134
ross,5,disgust,86
ross,5,fear,24
ross,5,joy,117
ross,5,neutral,240
ross,5,sadness,47
ross,5,surprise,222
ross,6,anger,139
ross,6,disgust,76
ross,6,fear,24
ross,6,joy,142
ross,6,neutral,247
ross,6,sadness,26
ross,6,surprise,258
ross,7,anger,136
ross,7,disgust,55
ross,7,fear,28
ross,7,joy,104
ross,7,neutral,233
ross,7,sadness,29
ross,7,surprise,237
ross,8,anger,124
ross,8,disgust,70
ross,8,fear,39
ross,8,joy,137
ross,8,neutral,319
ross,8,sadness,39
ross,8,surprise,255
ross,9,anger,89
ross,9,disgust,49
ross,9,fear,21
ross,9,joy,98
ross,9,neutral,278
ross,9,sadness,45
ross,9,surprise,261
ross,10,anger,102
ross,10,disgust,59
ross,10,fear,19
ross,10,joy,135
ross,10,neutral,263
ross,10,sadness,33
ross,10,surprise,252
